pc,delta_in,type,delta_out
140443297358671,-3990968,1,120
140443297358671,120,1,128
140443297358648,128,1,3990848
140443297358662,3990848,2,-3990712
140443297358671,-3990712,1,120
140443297358671,120,1,3990720
140443297358662,3990720,2,-3990592
140443297358648,-3990592,1,136
140443297358671,136,1,120
140443297358671,120,1,3990512
140443297358662,3990512,2,-3990384
140443297358648,-3990384,1,136
140443297358671,136,1,3990328
140443297358662,3990328,2,-3990208
140443297358671,-3990208,1,128
140443297358648,128,1,3990208
140443297358662,3990208,2,-3990072
140443297358671,-3990072,1,120
140443297358671,120,1,128
140443297358648,128,1,3989952
140443297358662,3989952,2,-3989816
140443297358671,-3989816,1,120
140443297358671,120,1,3989824
140443297358662,3989824,2,-3989696
140443297358648,-3989696,1,136
140443297358671,136,1,3989688
140443297358662,3989688,2,-3989568
140443297358671,-3989568,1,128
140443297358648,128,1,136
140443297358671,136,1,3989432
140443297358662,3989432,2,-3989312
140443297358671,-3989312,1,128
140443297358648,128,1,3989312
140443297358662,3989312,2,-3989176
140443297358671,-3989176,1,120
140443297358671,120,1,3989184
140443297358662,3989184,2,-3989056
140443297358648,-3989056,1,136
140443297358671,136,1,120
140443297358671,120,1,3988928
140443297358662,3988928,2,-3988800
140443297358648,-3988800,1,136
140443297358671,136,1,3988792
140443297358662,3988792,2,-3988672
140443297358671,-3988672,1,128
